rel,rel_ma4,rel_chg4,eff_per_video_s,log_lag,gini_s,n_channels_s,n_new_videos_s,growth_s,accel_s,eff_per_video_s_d4,log_lag_d4,n_channels_s_d4,n_new_videos_s_d4,gini_s_d4,bass_r2,log_qp,label,product
4.0,3.5,1.0,2.8408369408369416,8.715383244445695,0.4201338069225178,32.333333333333336,0.3333333333333333,0.1306122448979589,0.3601719933256319,-0.2063133705577615,0.0160643871210033,0.0659340659340661,0.0,-0.1768447276596038,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,4.0,1.0,2.8282921379695574,8.755265587948877,0.4487883109355712,32.666666666666664,0.0,0.0984251968503937,0.281704939615667,-0.2185881003452326,0.0171072701708647,0.1264367816091953,-1.0,-0.1128121001383564,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,4.0,0.0,3.742117895545315,8.796654559334591,0.5268428644067913,32.666666666666664,0.3333333333333333,0.3140794223826715,0.1834671774847125,0.3566495018498083,0.0163959469260979,0.1011235955056177,0.0,0.2067278940602182,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,4.0,0.0,4.057846611274031,8.826496851321085,0.5521236754650527,32.0,0.3333333333333333,0.3978494623655915,0.2994242655151977,0.4241746901308094,0.0164634183286296,0.090909090909091,0.0,0.277330005335981,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,4.0,0.0,4.500550144300145,8.85092053330604,0.5900510106654174,33.0,0.3333333333333333,0.2335164835164835,-0.0805629388661879,0.5842338853050233,0.0155515007268007,0.0206185567010308,0.0,0.4044359224208687,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,4.0,0.0,4.43953823953824,8.87312015661453,0.5699207017851086,34.0,0.0,0.1769230769230769,-0.2209263854425145,0.5696887107020714,0.0134609929855096,0.0408163265306122,0.0,0.2699098615046758,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,4.0,0.0,4.895767195767196,8.899870570872782,0.6163554998386459,35.0,0.0,0.1559020044543431,-0.0776144790621404,0.3082878018341448,0.0117335528912707,0.0714285714285714,-1.0,0.1699038583974048,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,4.0,0.0,6.152910052910053,8.88501783834957,0.6663198873030333,35.0,0.6666666666666666,0.4183006535947713,0.2413775766716943,0.5162993189085183,0.0066301487457876,0.09375,1.0,0.2068308549561714,0.8788190409359685,5.891051431205939,1,달고나커피
4.0,4.0,0.0,6.021957671957672,8.897803923233704,0.6381094766838636,32.333333333333336,0.6666666666666666,0.1618497109826588,0.0059477065283157,0.3380492337329823,0.0052970072153786,-0.0202020202020201,1.0,0.0814479852585106,0.8788190409359685,5.891051431205939,1,달고나커피
4.0,4.0,0.0,7.072734254992319,8.90666761494137,0.6483640699788938,30.666666666666668,1.0,0.0384024577572965,-0.3798981958374747,0.5931238505849565,0.0037807961274853,-0.0980392156862745,0.0,0.137639092505474,0.8788190409359685,5.891051431205939,1,달고나커피
4.0,4.0,0.0,6.728025260283325,8.549844904344074,0.6395677736825977,31.33333333333333,0.3333333333333333,0.0729684908789385,-0.0888812201037203,0.374253511502808,-0.0393292985264596,-0.1047619047619048,0.0,0.0376605284612994,0.8788190409359685,5.891051431205939,1,달고나커피
3.0,3.75,-0.25,6.919989545997612,8.583013841663785,0.6200513503249333,33.0,0.3333333333333333,0.0133136094674555,-0.025088848289841,0.1246693818845547,-0.0339902521503416,-0.0571428571428571,-0.5,-0.0694389254467165,0.8788190409359685,5.891051431205939,0,달고나커피
